"/* Jun Da: Modern Chinese Character Frequency List */",,,,,
"/* 笪骏现代汉语单字频率列表 */",,,,,
"/* http://lingua.mtsu.edu */",,,,,
"/* 拼音取自于http://www.mandarintools.com/cedict.html, http://www.chinese-forums.com/vocabulary/和http://sh.netsh.com/bbs/1951/。 */",,,,,
"/* 英文翻译来自于CEDICT at http://www.mandarintools.com/cedict.html */",,,,,
"序列号","汉字","频率","累计频率(%)","拼音","英文翻译"
1409,"耐",15629,93.86,"nai4","to be unbearable/unable to endure"
1410,"凭",15619,93.87,"ping2","lean against/proof/to rely on/to depend on/to be based on"
1411,"扎",15600,93.88,"za1/zha1/zha2","to tie/to bind, tie with string or ribbon/bind with rope or cord/to stop, to prick/to run or stick (a needle, etc.) into, penetrating (as of cold)/struggle"
1412,"抢",15596,93.88,"qiang1/qiang3","against wind, fight over/to rush/to scramble/to grab/to rob/to snatch"
1413,"绪",15571,93.89,"xu4","beginnings/clues/mental state/thread"
1414,"粗",15557,93.9,"cu1","coarse/rough/thick/unfinished/vulgar/rude/crude"
1415,"肩",15528,93.91,"jian1","shoulder"
1416,"梁",15387,93.92,"liang2","(surname)/beam of roof/bridge, beam of roof"
1417,"幻",15371,93.92,"huan4","fantasy"
1418,"菲",15365,93.93,"fei1","rich/luxurious/phenanthrene (chemical)/Philippines"
1419,"皆",15357,93.94,"jie1","all/each and every/in all cases"
1420,"碎",15334,93.95,"sui4","to break down/to break into pieces/fragmentary"
1421,"宙",15331,93.95,"zhou4","universe"
1422,"叔",15310,93.96,"shu1","uncle in direct address"
1423,"岩",15279,93.97,"yan2","cliff/rock, cliff"
1424,"荡",15268,93.98,"dang4","a pond/pool/wash/squander/sweep away/move/shake/dissolute"
1425,"综",15258,93.99,"zong1","to sum up"
1426,"爬",15255,93.99,"pa2","crawl/climb"
1427,"荷",15249,94,"he2/he4","lotus, peppermint/to carry burden"
1428,"悉",15234,94.01,"xi1","in all cases/know"
1429,"蒂",15183,94.02,"di4","stem (of fruit)"
1430,"返",15179,94.03,"fan3","to return (to)"
1431,"井",15158,94.03,"jing3","warn/well"
1432,"壮",15151,94.04,"zhuang4","to strengthen/strong/robust"
1433,"薄",15150,94.05,"bo2/bo4/bao2","mean/slight/thin, thin/slight/meagre/small/ungenerous/unkind/mean/frivolous/despise/belittle/to approach/to go near/peppermint"
1434,"悄",15141,94.06,"qiao3/qiao1","quiet/sad"
1435,"扫",15140,94.06,"sao3/sao4","to sweep, broom"
1436,"敏",15135,94.07,"min3","keen"
1437,"碍",15121,94.08,"ai4","to hinder/to obstruct/to block"
1438,"殖",15118,94.09,"zhi2","grow/reproduce"
1439,"详",15099,94.1,"xiang2","detailed/comprehensive"
1440,"迪",15073,94.1,"di2","direct/follow"
1441,"矛",15059,94.11,"mao2","spear/lance/pike"
1442,"霍",15034,94.12,"huo4","(surname)/cholera"
1443,"允",15027,94.13,"yun3","just/fair/to permit/to allow"
1444,"幅",15021,94.14,"fu2","(measure word for textile or picture)/width/roll"
1445,"撒",15003,94.14,"sa1/sa3","let go, to scatter"
1446,"剩",14996,94.15,"sheng4","have as remainder"
1447,"凯",14990,94.16,"kai3","triumphant/victorious"
1448,"颗",14987,94.17,"ke1","(measure word for small spheres)"
1449,"骂",14976,94.17,"ma4","scold/abuse"
1450,"赏",14946,94.18,"shang3","enjoy the beauty of/give"
1451,"液",14940,94.19,"ye4","liquid/fluid"
1452,"番",14927,94.2,"fan1/pan1","(measure word for acts)/deeds/foreign, (surname)/place name"
1453,"箱",14913,94.2,"xiang1","box/trunk/chest"
1454,"贴",14888,94.21,"tie1","to stick/to paste/to keep close to/to fit snugly/subsidize/allowance"
1455,"漫",14869,94.22,"man4","free/unrestrained/inundate"
1456,"酸",14855,94.23,"suan1","sour/sore/ache/acid"
1457,"郎",14845,94.24,"lang2","(surname)/a youth"
1458,"腰",14841,94.24,"yao1","waist"
1459,"舒",14833,94.25,"shu1","(surname)/relax"
1460,"眉",14763,94.26,"mei2","eyebrow/upper margin"
1461,"忧",14753,94.27,"you1","worried"
1462,"浮",14717,94.27,"fu2","to float"
1463,"辛",14713,94.28,"xin1","8th heavenly stem/tired"
1464,"恋",14674,94.29,"lian4","feel attached to/long for/love"
1465,"餐",14641,94.3,"can1","eat/meal"
1466,"吓",14620,94.3,"xia4","to frighten/to scare/to intimidate/to threaten"
1467,"挺",14615,94.31,"ting3","be straight and stiff/rather (good)"
1468,"励",14512,94.32,"li4","exhort"
1469,"辞",14439,94.33,"ci2","bid farewell/diction/resign/say goodbye/take leave/decline"
1470,"艘",14438,94.33,"sao1/sou1","measure word for warships (Taiwan pronunciation), measure word for boats and ships (mainland pronunciation)"
1471,"键",14434,94.34,"jian4","(door lock) key"
1472,"伍",14425,94.35,"wu3","associate with/five/company"
1473,"峰",14424,94.36,"feng1","peak/summit"
1474,"尺",14422,94.36,"chi3","a Chinese foot (M)/one-third of a meter/a ruler/a note musical note on traditional Chinese scale"
1475,"昨",14406,94.37,"zuo2","yesterday"
1476,"黎",14389,94.38,"li2","(surname)/black/abbreviation for Lebanon"
1477,"辈",14384,94.39,"bei4","contemporaries/generation/lifetime"
1478,"贯",14361,94.39,"guan4","pierce/to string"
1479,"侦",14329,94.4,"zhen1","to scout/to spy"
1480,"滑",14303,94.41,"gu3/hua2","comical, comical/cunning/slippery/smooth"
1481,"券",14293,94.42,"quan4","deed/bond/contract/ticket"
1482,"崇",14262,94.42,"chong2","high/dignified/lofty/to honor"
1483,"扰",14252,94.43,"rao3","disturb"
1484,"宪",14251,94.44,"xian4","statute/constitution"
1485,"绕",14172,94.45,"rao4","go around/to wind (around)"
1486,"趋",14160,94.45,"qu1","to hasten/to hurry/walk fast"
1487,"慈",14141,94.46,"ci2","compassionate/gentle/merciful/kind/humane"
1488,"乔",14107,94.47,"qiao2","tall"
1489,"阅",14067,94.47,"yue4","peruse/review/to read"
1490,"汗",14011,94.48,"han4","perspiration/sweat"
1491,"枝",13982,94.49,"zhi1","branch/(a measure word)"
1492,"拖",13973,94.5,"tuo1","dragging (brush stroke in painting)/to drag along"
1493,"墨",13959,94.5,"mo4","China ink/ink stick"
1494,"胁",13948,94.51,"xie2","side of body/threaten"
1495,"插",13938,94.52,"cha1","insert/stick in/pierce/to take part in/to interfere/to interpose"
1496,"箭",13922,94.52,"jian4","arrow"
1497,"腊",13892,94.53,"la4","preserved (meat), December/preserved (meat)"
1498,"粉",13874,94.54,"fen3","dust/powder"
1499,"泥",13874,94.55,"ni2/ni4","mud/paste/pulp, restrained"
1500,"氏",13868,94.55,"shi4","clan name/maiden name"
1501,"彭",13866,94.56,"peng2","(surname)"
1502,"拔",13865,94.57,"ba2","pull up/pull out/select/promote"
1503,"骗",13854,94.57,"pian4","to cheat/to swindle/to deceive/to fool"
1504,"凤",13817,94.58,"feng4","phoenix"
1505,"慧",13810,94.59,"hui4","intelligent"
1506,"媒",13802,94.6,"mei2","medium/intermediary/matchmaker/go-between"
1507,"佩",13784,94.6,"pei4","to respect/wear (belt, etc.), girdle ornaments"
1508,"愤",13749,94.61,"fen4","indignant/anger/resentment"
1509,"扑",13748,94.62,"pu1","to rush at/to throw oneself on, rush on"
1510,"龄",13733,94.62,"ling2","age"
1511,"驱",13692,94.63,"qu1","to expel/to urge on/to drive/to run quickly"
1512,"惜",13687,94.64,"xi1","pity, regret, rue, begrudge"
1513,"豪",13680,94.65,"hao2","grand/heroic"
1514,"掩",13680,94.65,"yan3","cover up/to surprise"
1515,"兼",13656,94.66,"jian1","double/twice/simultaneous/holding two or more (official) posts at the same time"
1516,"跃",13645,94.67,"yue4","to jump/to leap"
1517,"尸",13609,94.67,"shi1","corpse"
1518,"肃",13581,94.68,"su4","Gansu/respectful"
1519,"帕",13566,94.69,"pa4","handkerchief"
1520,"驶",13537,94.7,"shi3","hasten/proceed to/sail a vessel"
1521,"堡",13533,94.7,"bao3/pu4","an earthwork/castle/position of defense/stronghold, character used in place names"
1522,"届",13521,94.71,"jie4","arrive at (place or time)/period/to become due/measure words for events (e.g., meetings, elections)"
1523,"欣",13500,94.72,"xin1","happy"
1524,"惠",13492,94.72,"hui4","favor/kind act (from above)"
1525,"册",13462,94.73,"ce4","book/a measure word for books/booklet"
1526,"储",13408,94.74,"chu3","savings/to save/to deposit/to store/(a surname)"
1527,"飘",13357,94.74,"piao1","to float"
1528,"桑",13328,94.75,"sang1","mulberry tree"
1529,"闲",13316,94.76,"xian2","to stay idle/to be unoccupied/not busy/leisure/enclosure"
1530,"惨",13314,94.76,"can3","miserable/wretched/cruel/inhuman/seriously/badly/tragic"
1531,"洁",13261,94.77,"jie2","clean"
1532,"踪",13193,94.78,"zong1","footprint/trace/tracks"
1533,"勃",13183,94.79,"bo2","flourishing/prosperous/suddenly/abruptly"
1534,"宾",13149,94.79,"bin1","visitor/guest"
1535,"频",13127,94.8,"pin2","frequency/frequently/repetitious"
1536,"仇",13118,94.81,"chou2/qiu2","hatred/animosity/enmity/a rival/an enemy/feud, (surname)/match/mate"
1537,"磨",13082,94.81,"mo2/mo4","to sharpen/to delay/hardship/to grind/to rub, grindstone"
1538,"递",13012,94.82,"di4","to hand over/to pass/to give"
1539,"邪",12952,94.83,"xie2","demonical/iniquitous/nefarious"
1540,"撞",12894,94.83,"zhuang4","to hit/to strike/to meet by accident/to run into/to bump against/to bump into"
1541,"拟",12885,94.84,"ni3","plan to"
1542,"滚",12863,94.85,"gun3","to boil/to roll"
1543,"奏",12859,94.85,"zou4","present a memorial"
1544,"巡",12852,94.86,"xun2","to patrol/to make one's rounds"
1545,"颜",12837,94.87,"yan2","(surname)/color/countenance"
1546,"剂",12821,94.87,"ji4","dose"
1547,"绩",12789,94.88,"ji1/ji4","merit/accomplishment"
1548,"贡",12785,94.89,"gong4","tribute/gifts"
1549,"疯",12771,94.89,"feng1","insane/mad/wild"
1550,"坡",12758,94.9,"po1","slope"
1551,"瞧",12745,94.91,"qiao2","look at"
1552,"截",12718,94.91,"jie2","a section/cut off (a length)"
1553,"燃",12708,94.92,"ran2","burn/combustion"
1554,"焦",12684,94.92,"jiao1","burnt/scorched/worried/anxious"
1555,"殿",12667,94.93,"dian4","palace hall"
1556,"伪",12654,94.94,"wei3","false/fake/forged/bogus"
1557,"柳",12642,94.94,"liu3","willow/Liu (a surname)"
1558,"锁",12638,94.95,"suo3","to lock up/to lock"
1559,"逼",12623,94.96,"bi1","close to/compel, force/compel/drive/press for/extort/press on towards/press up to/close in on/close"
1560,"颇",12605,94.96,"po1","quite/rather/uneven/sloping"
1561,"昏",12600,94.97,"hun1","muddle-headed/twilight/to faint/to lose consciousness"
1562,"劝",12587,94.98,"quan4","to advise/to urge/to try to persuade/exhort"
1563,"呈",12567,94.98,"cheng2","to assume (a form)/to submit/to petition/to show/to present/to offer"
1564,"搜",12537,94.99,"sou1","to search"
1565,"勤",12536,95,"qin2","diligent/frequent"
1566,"戒",12510,95,"jie4","swear off/warn against"
1567,"驾",12492,95.01,"jia4","to drive/to draw/to harness/to mount"
1568,"漂",12488,95.02,"piao1/piao3/piao4","to float/to drift, to bleach, elegant/polished"
1569,"饮",12453,95.02,"yin3","drink"
1570,"曹",12443,95.03,"cao2","a company/a class/a generation/(a surname)"
1571,"朵",12435,95.04,"duo3","M for flowers"
1572,"仔",12428,95.04,"zi1/zi3/zai3","duty/responsibility, minutely/young"
1573,"柔",12389,95.05,"rou2","soft"
1574,"俩",12340,95.05,"lia3/liang3","(a numeral-measure word) two/both, craft/cunning"
1575,"孟",12274,95.06,"meng4","first month/eldest brother/(surname)"
1576,"腐",12264,95.07,"fu3","decay/rotten"
1577,"幼",12257,95.07,"you4","young"
1578,"践",12242,95.08,"jian4","fulfill (a promise)/tread/walk"
1579,"籍",12205,95.09,"ji2","(surname)/record/register/native place"
1580,"牧",12193,95.09,"mu4","shepherd"
1581,"凉",12156,95.1,"liang2","cool/cold"
1582,"牲",12107,95.1,"sheng1","domestic animal"
1583,"佳",12061,95.11,"jia1","excellent"
1584,"娜",12060,95.12,"nuo2/na4","elegant/graceful"
1585,"浓",12016,95.12,"nong2","concentrated/dense"
1586,"芳",12015,95.13,"fang1","fragrant"
1587,"稿",12012,95.14,"gao3","manuscript/draft/stalk of grain"
1588,"竹",12000,95.14,"zhu2","bamboo"
1589,"腹",11974,95.15,"fu4","abdomen/stomach/belly"
1590,"跌",11967,95.15,"die1","to drop/to fall/to tumble"
1591,"逻",11959,95.16,"luo2","logic/patrol"
1592,"垂",11949,95.17,"chui2","to hang (down)/droop/dangle/bend down/hand down/bequeath/nearly/almost/to approach"
1593,"遵",11935,95.17,"zun1","to observe/to obey/to follow"
1594,"脉",11932,95.18,"mai4","mountain range/pulse"
1595,"貌",11921,95.19,"mao4","appearance"
1596,"柏",11902,95.19,"bai3/bo4","(surname)/cedar/cypress, cypress/cedar"
1597,"狱",11886,95.2,"yu4","prison"
1598,"猜",11875,95.2,"cai1","to guess"
1599,"怜",11848,95.21,"lian2","to pity"
1600,"惑",11829,95.22,"huo4","confuse"
1601,"陶",11821,95.22,"tao2","pottery, (surname)/pleased/pottery"
1602,"兽",11820,95.23,"shou4","beast/quadruped"
1603,"帐",11798,95.23,"zhang4","account/mosquito net/tent/curtain/debt/credit"
1604,"饰",11794,95.24,"shi4","adorn/ornaments"
1605,"贷",11793,95.25,"dai4","lend on interest/borrow/loan/make excuses/pardon/forgive"
1606,"昌",11787,95.25,"chang1","prosperous/flourish"
1607,"叙",11786,95.26,"xu4","narrate/abbreviation for Syria"
1608,"躺",11745,95.26,"tang3","to recline/to lie down"
1609,"钢",11738,95.27,"gang1","steel"
1610,"沟",11735,95.28,"gou1","ditch/gutter"
1611,"寄",11729,95.28,"ji4","lodge at/to mail/to send/to entrust/to depend"
1612,"扶",11659,95.29,"fu2","to support with hand/to help sb. up/to help"
1613,"铺",11654,95.3,"pu1/pu4","to spread, a store, a bed/a store"
1614,"邓",11651,95.3,"deng4","Deng (Xiaoping)"
1615,"寿",11646,95.31,"shou4","(long) life"
1616,"惧",11644,95.31,"ju4","to fear"
1617,"询",11643,95.32,"xun2","inquire"
1618,"汤",11620,95.33,"tang1","(surname)/soup"
1619,"盗",11595,95.33,"dao4","steal/rob/plunder/a thief/bandit/robber"
1620,"肥",11594,95.34,"fei2","loose-fitting/fat/fertile"
1621,"尝",11557,95.34,"chang2","indicator of past tense/to taste/flavor/already/ever/once/test/already/formerly, to taste"
1622,"匆",11540,95.35,"cong1","hurried/hasty"
1623,"辉",11518,95.35,"hui1","bright/glorious"
1624,"奈",11509,95.36,"nai4","how can one help"
1625,"扣",11505,95.37,"kou4","10 percent/button/detain, button"
1626,"廷",11499,95.37,"ting2","palace courtyard"
1627,"澳",11475,95.38,"ao4","Australia/deep bay/cove/bay/harbor/(abbrev) Macao"
1628,"嘛",11474,95.38,"ma","(a modal particle)"
1629,"董",11450,95.39,"dong3","(surname)/supervise/to direct/director"
1630,"迁",11433,95.4,"qian1","to move/to shift"
1631,"凝",11409,95.4,"ning2","congeal/concentrate attention"
1632,"慰",11379,95.41,"wei4","reassure"
1633,"厌",11376,95.41,"yan4","loathe"
1634,"脏",11350,95.42,"zang1/zang4","dirty/filthy, viscera"
1635,"腾",11343,95.43,"teng2","to soar/to gallop/to rise/to prance/to hover/to move out"
1636,"幽",11319,95.43,"you1","quiet/secluded"
1637,"怨",11305,95.44,"yuan4","blame/complain"
1638,"鞋",11288,95.44,"xie2","shoe"
1639,"丢",11285,95.45,"diu1","to lose/to put aside/to throw"
1640,"埋",11246,95.46,"mai2/man2","bury, to blame"
1641,"泉",11237,95.46,"quan2","fountain/spring"
1642,"涌",11228,95.47,"yong3","bubble up/rush forth"
1643,"辖",11213,95.47,"xia2","have jurisdiction over"
1644,"躲",11201,95.48,"duo3","avoid/get out of way/to hide/to go into hiding"
1645,"晋",11192,95.48,"jin4","name of a dynasty"
1646,"紫",11172,95.49,"zi3","purple"
1647,"艰",11164,95.5,"jian1","difficult/hard/hardship"
1648,"魏",11161,95.5,"wei4","(surname)/name of a dynasty"
1649,"吾",11154,95.51,"wu2","I/my"
1650,"慌",11149,95.51,"huang1","nervous"
1651,"祝",11144,95.52,"zhu4","invoke/pray to/wish/to express good wishes"
1652,"邮",11137,95.52,"you2","post (office)/mail"
1653,"吐",11132,95.53,"tu3/tu4","to spit, vomit"
1654,"狠",11116,95.54,"hen3","fierce/very"
1655,"鉴",11090,95.54,"jian4","example/mirror/to view/reflection/to reflect/to inspect/to warn/(ancient bronze mirror)"
1656,"曰",11075,95.55,"yue1","to speak/to say"
1657,"械",11060,95.55,"xie4","tools"
1658,"咬",11029,95.56,"yao3","bite/nip"
1659,"邻",10996,95.56,"lin2","neighbor/adjacent/close to"
1660,"赤",10981,95.57,"chi4","red/scarlet/bare/naked"
1661,"挤",10920,95.58,"ji3","crowded/to squeeze"
1662,"弯",10917,95.58,"wan1","bend/bent"
1663,"椅",10917,95.59,"yi3","chair"
1664,"陪",10908,95.59,"pei2","to accompany/to keep sb. company"
1665,"割",10894,95.6,"ge1","cut off"
1666,"揭",10892,95.6,"jie1","lift off (a cover)/divulge"
1667,"韦",10882,95.61,"wei2","(surname)/soft leather"
1668,"悟",10876,95.62,"wu4","comprehend"
1669,"聪",10863,95.62,"cong1","quick at hearing/wise/clever/sharp-witted/intelligent/acute"
1670,"雾",10856,95.63,"wu4","fog/mist"
1671,"锋",10783,95.63,"feng1","point or edge of a tool"
1672,"梯",10738,95.64,"ti1","ladder"
1673,"猫",10724,95.64,"mao1","cat/pussy"
1674,"祥",10724,95.65,"xiang2","auspicious/propitious"
1675,"阔",10722,95.65,"kuo4","rich/wide/broad"
1676,"誉",10683,95.66,"yu4","reputation"
1677,"筹",10671,95.67,"chou2","a tally/counter/ticket/plan/devise/manage"
1678,"丛",10665,95.67,"cong2","cluster/collection/collection of books/thicket"
1679,"牵",10641,95.68,"qian1","lead along"
1680,"鸣",10636,95.68,"ming2","to cry (of birds)"
1681,"沈",10628,95.69,"chen2/shen3","sink, (surname)/place name"
1682,"阁",10595,95.69,"ge2","council-chamber/shelf"
1683,"穆",10592,95.7,"mu4","(surname)/solemn"
1684,"屈",10591,95.7,"qu1","bent/feel wronged"
1685,"旨",10590,95.71,"zhi3","imperial decree/purport/aim/purpose"
1686,"袖",10564,95.71,"xiu4","sleeve"
1687,"猎",10561,95.72,"lie4","hunting"
1688,"臂",10542,95.73,"bi4","arm"
1689,"蛇",10538,95.73,"she2","snake/serpent"
1690,"贺",10507,95.74,"he4","congratulate"
1691,"柱",10504,95.74,"zhu4","pillar"
1692,"抛",10477,95.75,"pao1","to throw/to toss/to fling/to cast/to abandon"
1693,"鼠",10476,95.75,"shu3","rat/mouse"
1694,"瑟",10473,95.76,"se4","(mus. instr.)"
1695,"戈",10456,95.76,"ge1","(surname)/spear"
1696,"牢",10454,95.77,"lao2","firm/fast"
1697,"逊",10444,95.77,"xun4","to yield"
1698,"迈",10432,95.78,"mai4","take a step"
1699,"欺",10418,95.78,"qi1","take unfair advantage of/to deceive/to cheat"
1700,"吨",10403,95.79,"dun1/dun4","ton, ton"
1701,"琴",10383,95.8,"qin2","(mus. instr.)"
1702,"衰",10367,95.8,"cui1/shuai1","mourning garments, weak/feeble/decline/wane"
1703,"瓶",10361,95.81,"ping2","bottle/(a measure word)/vase/pitcher"
1704,"恼",10356,95.81,"nao3","get mad"
1705,"燕",10325,95.82,"yan1/yan4","(surname)/place name, swallow (a type of bird)"
1706,"仲",10316,95.82,"zhong4","2nd in seniority"
1707,"诱",10307,95.83,"you4","entice/tempt"
1708,"狼",10295,95.83,"lang2","wolf"
1709,"池",10289,95.84,"chi2","pond/reservoir"
1710,"疼",10279,95.84,"teng2","(it) hurts/love fondly/ache/pain/sore"
1711,"卢",10266,95.85,"lu2","(surname)"
1712,"仗",10263,95.85,"zhang4","battle"
1713,"冠",10217,95.86,"guan1/guan4","hat/crown/crest/cap, to head"
1714,"粒",10200,95.86,"li4","a grain/a granule"
1715,"遥",10179,95.87,"yao2","distant/remote/far/far away"
1716,"吕",10156,95.88,"lu:3/lv3","(surname)"
1717,"玄",10151,95.88,"xuan2","black/mysterious"
1718,"尘",10137,95.89,"chen2","dust/dirt/earth"
1719,"冯",10128,95.89,"feng2",
1720,"抚",10100,95.9,"fu3","to comfort/touch gently with hand"
1721,"浅",10088,95.9,"jian1/qian3","sound of moving water, shallow"
1722,"敦",10084,95.91,"dun1","kind-hearted, kind-hearted/place name"
1723,"纠",10064,95.91,"jiu1","gather together/to investigate/to entangle/correct"
1724,"钻",10064,95.92,"zuan1/zuan4","enter (a hole)/probe, an auger/diamond"
1725,"晶",10038,95.92,"jing1","crystal"
1726,"岂",10036,95.93,"qi3","how can it be that"
1727,"峡",10028,95.93,"xia2","gorge"
1728,"苍",10027,95.94,"cang1","dark blue/fly/musca/deep green"
1729,"喷",10027,95.94,"pen1/pen4","to puff/to spout/to spray/to spurt, fragrant/sneeze"
1730,"耗",9999,95.95,"hao4","mouse/new/to waste/to spend/to consume/to squander"
1731,"凌",9999,95.95,"ling2","encroach/soar/thick ice"
1732,"敲",9978,95.96,"qiao1","extort/knock/to strike/to knock (at a door)/to hit"
1733,"菌",9971,95.96,"jun1/jun4","germ/bacteria, bacteria/mold/mushroom"
1734,"赔",9960,95.97,"pei2","lose in trade/pay damage"
1735,"涂",9949,95.97,"tu2","to smear/daub, (surname)/to smear/daub/to apply (paint)/to spread"
1736,"粹",9943,95.98,"cui4","pure/unmixed/essence"
1737,"扁",9917,95.98,"bian3/pian1","flat/tablet/inscription, (surname)/small boat, Polygonum aviculare"
1738,"亏",9884,95.99,"kui1","deficiency/deficit"
1739,"寂",9875,95.99,"ji4","lonesome"
1740,"煤",9832,96,"mei2","coal"
1741,"熊",9788,96,"xiong2","bear/to scold/to rebuke"
1742,"恭",9787,96.01,"gong1","respectful"
1743,"湿",9783,96.01,"shi1","moist/wet"
1744,"循",9768,96.02,"xun2","to follow/to adhere to/to abide by"
1745,"暖",9762,96.02,"nuan3","warm"
1746,"糖",9757,96.03,"tang2","sugar/sweets/candy"
1747,"赋",9723,96.03,"fu4","poetic essay/taxation/bestow on/endow with"
1748,"抑",9719,96.04,"yi4","to restrain/to restrict/to keep down/or"
1749,"秩",9713,96.04,"zhi4","order/orderliness"
1750,"帽",9697,96.05,"mao4","hat/cap"
1751,"哀",9693,96.05,"ai1","sorrow/grief/pity/to grieve for/to pity/to lament"
1752,"宿",9693,96.06,"su4/xiu3/xiu4","lodge for the night/old/former, (a) night, constellation"
1753,"踏",9656,96.06,"ta4","step on"
1754,"烂",9635,96.07,"lan4","overcooked/rotten/soft"
1755,"袁",9609,96.07,"yuan2","(surname)"
1756,"侯",9585,96.08,"hou2","marquis"
1757,"抖",9584,96.08,"dou3","shake out/tremble"
1758,"夹",9574,96.09,"jia1/jia2","clip/folder/hold between/to press from both sides/to place in between, hold between/lined/narrow lane"
1759,"昆",9557,96.09,"kun1","Kunlun mountains, descendant/elder brother"
1760,"肝",9551,96.1,"gan1","liver"
1761,"擦",9542,96.1,"ca1","to wipe/to erase/rubbing (brush stroke in painting)/to clean/to polish"
1762,"猪",9535,96.11,"zhu1","hog/pig/swine"
1763,"炼",9528,96.11,"lian4","refine/smelt, refine"
1764,"恒",9483,96.12,"heng2","permanent"
1765,"慎",9479,96.12,"shen4","cautious"
1766,"搬",9478,96.13,"ban1","remove/transport/move/shift"
1767,"纽",9466,96.13,"niu3","to turn/to wrench/button"
1768,"纹",9463,96.14,"wen2","line/trace/mark"
1769,"玻",9447,96.14,"bo1","glass"
1770,"渔",9441,96.15,"yu2","fisherman/to fish"
1771,"磁",9433,96.15,"ci2","magnetic/magnetism/porcelain"
1772,"铜",9416,96.16,"tong2","copper"
1773,"齿",9415,96.16,"chi3","tooth"
1774,"跨",9404,96.17,"kua4","step across/step astride"
1775,"押",9401,96.17,"ya1","detain in custody"
1776,"怖",9400,96.18,"bu4","terror/terrified/afraid/frightened"
1777,"漠",9366,96.18,"mo4","desert/unconcerned"
1778,"疲",9364,96.19,"pi2","weary"
1779,"叛",9361,96.19,"pan4","to betray/to rebel/to revolt"
1780,"遣",9335,96.2,"qian3","dispatch"
1781,"兹",9319,96.2,"zi1","herewith"
1782,"祭",9316,96.21,"ji4/zhai4","offer sacrifice, (surname)"
1783,"醉",9292,96.21,"zui4","intoxicated"
1784,"拳",9290,96.22,"quan2","fist"
1785,"弥",9276,96.22,"mi2","full/to fill, overflowing"
1786,"斜",9264,96.23,"xie2","slanting"
1787,"档",9248,96.23,"dang4","cross-piece/official records/grade (of goods)/file/records/shelves"
1788,"稀",9234,96.24,"xi1","diluted/sparse"
1789,"捷",9225,96.24,"jie2","victory/triumph/quick/prompt/rapid"
1790,"肤",9214,96.25,"fu1","skin"
1791,"疫",9202,96.25,"yi4","epidemic/plague"
1792,"肿",9202,96.25,"zhong3","swollen"
1793,"豆",9179,96.26,"dou4","bean/peas, bean/sacrificial vessel"
1794,"削",9169,96.26,"xiao1/xue1","to scrape, to reduce/to pare (away)/to cut (down)"
1795,"岗",9163,96.27,"gang3","mound/policeman's beat"
1796,"晃",9157,96.27,"huang3/huang4","dazzle, sway/to shade"
1797,"吞",9142,96.28,"tun1","to swallow/to take"
1798,"宏",9134,96.28,"hong2","spacious"
1799,"癌",9114,96.29,"ai2/yan2","cancer, cancer (old pronuniation)/carcinoma"
1800,"肚",9102,96.29,"du3/du4","tripe, belly"
1801,"隶",9100,96.3,"li4","attached to/scribe"
1802,"履",9091,96.3,"lu:3/lv3","shoe/to tread on"
1803,"涨",9089,96.31,"zhang3/zhang4","to rise (of prices, rivers), to swell/distend"
1804,"耀",9060,96.31,"yao4","brilliant/glorious"
1805,"扭",9054,96.32,"niu3","to turn/to twist/to grab/to wring"
1806,"坛",9049,96.32,"tan2","altar"
1807,"拨",9047,96.33,"bo1","to push aside/to appropriate (money)/to move/to set aside/group/batch/to poke/to stir"
1808,"沃",9047,96.33,"wo4","fertile/rich"
1809,"绘",9039,96.33,"hui4","to draw/to paint"
1810,"伐",9028,96.34,"fa2","(v) cut down; fell/(v) dispatch an expedition against; descend upon"
1811,"堪",9026,96.34,"kan1","endure"
1812,"仆",8976,96.35,"pu1/pu2","fall prostrate, servant"
1813,"郭",8931,96.35,"guo1","(surname)/outer city wall"
1814,"牺",8926,96.36,"xi1","sacrifice"
1815,"歼",8910,96.36,"jian1","annihilate"
1816,"墓",8890,96.37,"mu4","tomb"
1817,"雇",8857,96.37,"gu4","hire"
1818,"廉",8854,96.38,"lian2","incorrupt/inexpensive"
1819,"契",8845,96.38,"qi4","contract"
1820,"拼",8842,96.39,"pin1","piece together/stake (all)/spell/join together"
1821,"惩",8839,96.39,"cheng2","punish/discipline"
1822,"捉",8838,96.39,"zhuo1","to clutch/to grab/to capture"
1823,"覆",8795,96.4,"fu4","to cover/to overflow/to reply to a letter/to overturn/to capsize"
1824,"刷",8773,96.4,"shua1/shua4","brush, to select"
1825,"劫",8752,96.41,"jie2","plunder"
1826,"嫌",8748,96.41,"xian2","to dislike/to suspect"
1827,"瓜",8740,96.42,"gua1","melon/claw/gourd/squash"
1828,"歇",8733,96.42,"xie1","to rest"
1829,"雕",8713,96.43,"diao1","engrave, engrave/shrewd, golden eagle"
1830,"闷",8708,96.43,"men1/men4","smother/stuffy, melancholy"
1831,"乳",8701,96.44,"ru3","breast/milk"
1832,"串",8695,96.44,"chuan4","to string together/to mix up/to conspire/to connect/(a measure word)/string"
1833,"娃",8662,96.44,"wa2","baby/doll"
1834,"缴",8659,96.45,"jiao3","hand in/hand over"
1835,"唤",8657,96.45,"huan4","to call"
1836,"赢",8657,96.46,"ying2","to beat/to win/to profit"
1837,"莲",8650,96.46,"lian2","lotus"
